study_variable,velocity,Fx_N,Fy_N,FR_N,Q_m3_s,mdot_kg_s,Re,outlet_speed_m_s,diameter
velocity,4.666666666666666,6.84169066781777,0.0,6.84169066781777,0.0014660765716752366,1.4660765716752366,93333.33333333333,4.666666666666666,
velocity,5.0,7.853981633974482,0.0,7.853981633974482,0.0015707963267948964,1.5707963267948963,100000.0,5.0,
velocity,5.333333333333333,8.936085770210966,0.0,8.936085770210966,0.0016755160819145562,1.6755160819145563,106666.66666666666,5.333333333333333,
velocity,5.666666666666666,10.08800307652722,0.0,10.08800307652722,0.0017802358370342158,1.7802358370342157,113333.33333333333,5.666666666666666,
velocity,6.0,11.309733552923255,0.0,11.309733552923255,0.0018849555921538759,1.8849555921538759,120000.0,6.0,
velocity,6.333333333333333,12.601277199399059,0.0,12.601277199399059,0.0019896753472735357,1.9896753472735356,126666.66666666666,6.333333333333333,
velocity,6.666666666666666,13.962634015954634,0.0,13.962634015954634,0.0020943951023931952,2.0943951023931953,133333.3333333333,6.666666666666666,
velocity,7.0,15.393804002589986,0.0,15.393804002589986,0.0021991148575128553,2.199114857512855,140000.0,7.0,
velocity,7.333333333333333,16.894787159305107,0.0,16.894787159305107,0.002303834612632515,2.3038346126325147,146666.66666666666,7.333333333333333,
velocity,7.666666666666666,18.465583486100005,0.0,18.465583486100005,0.0024085543677521744,2.4085543677521746,153333.3333333333,7.666666666666666,
velocity,8.0,20.106192982974676,0.0,20.106192982974676,0.0025132741228718345,2.5132741228718345,160000.0,8.0,
velocity,8.333333333333332,21.816615649929112,0.0,21.816615649929112,0.002617993877991494,2.617993877991494,166666.66666666666,8.333333333333332,
velocity,8.666666666666666,23.596851486963327,0.0,23.596851486963327,0.0027227136331111536,2.7227136331111534,173333.3333333333,8.666666666666666,
velocity,9.0,25.446900494077326,0.0,25.446900494077326,0.0028274333882308137,2.827433388230814,180000.0,9.0,
velocity,9.333333333333332,27.36676267127108,0.0,27.36676267127108,0.0029321531433504733,2.9321531433504733,186666.66666666666,9.333333333333332,
velocity,9.666666666666666,29.35643801854462,0.0,29.35643801854462,0.0030368728984701333,3.036872898470133,193333.3333333333,9.666666666666666,
velocity,10.0,31.415926535897928,0.0,31.415926535897928,0.003141592653589793,3.1415926535897927,200000.0,10.0,
velocity,10.333333333333332,33.54522822333101,0.0,33.54522822333101,0.0032463124087094525,3.2463124087094526,206666.66666666666,10.333333333333332,
velocity,10.666666666666666,35.74434308084386,0.0,35.74434308084386,0.0033510321638291125,3.3510321638291125,213333.3333333333,10.666666666666666,
velocity,11.0,38.0132711084365,0.0,38.0132711084365,0.0034557519189487725,3.4557519189487724,220000.0,11.0,
velocity,11.333333333333332,40.35201230610888,0.0,40.35201230610888,0.0035604716740684317,3.5604716740684315,226666.66666666666,11.333333333333332,
velocity,11.666666666666666,42.76056667386107,0.0,42.76056667386107,0.0036651914291880917,3.665191429188092,233333.3333333333,11.666666666666666,
velocity,12.0,45.23893421169302,0.0,45.23893421169302,0.0037699111843077517,3.7699111843077517,240000.0,12.0,
velocity,12.333333333333332,47.78711491960473,0.0,47.78711491960473,0.0038746309394274113,3.874630939427411,246666.66666666666,12.333333333333332,
velocity,12.666666666666666,50.405108797596235,0.0,50.405108797596235,0.003979350694547071,3.979350694547071,253333.3333333333,12.666666666666666,
velocity,13.0,53.092915845667505,0.0,53.092915845667505,0.004084070449666731,4.084070449666731,260000.0,13.0,
velocity,13.333333333333332,55.85053606381854,0.0,55.85053606381854,0.0041887902047863905,4.1887902047863905,266666.6666666666,13.333333333333332,
velocity,13.666666666666666,58.67796945204936,0.0,58.67796945204936,0.0042935099599060505,4.293509959906051,273333.3333333333,13.666666666666666,
velocity,14.0,61.575216010359945,0.0,61.575216010359945,0.0043982297150257105,4.39822971502571,280000.0,14.0,
velocity,14.333333333333332,64.54227573875029,0.0,64.54227573875029,0.00450294947014537,4.50294947014537,286666.6666666666,14.333333333333332,
velocity,14.666666666666666,67.57914863722043,0.0,67.57914863722043,0.00460766922526503,4.607669225265029,293333.3333333333,14.666666666666666,
velocity,15.0,70.68583470577035,0.0,70.68583470577035,0.00471238898038469,4.71238898038469,300000.0,15.0,
velocity,15.333333333333332,73.86233394440002,0.0,73.86233394440002,0.004817108735504349,4.817108735504349,306666.6666666666,15.333333333333332,
velocity,15.666666666666666,77.10864635310946,0.0,77.10864635310946,0.004921828490624009,4.921828490624009,313333.3333333333,15.666666666666666,
velocity,16.0,80.4247719318987,0.0,80.4247719318987,0.005026548245743669,5.026548245743669,320000.0,16.0,
